# Decupagem do institucional de 35s do Meta Kart.
#
# bloco    = bloco do briefing (1 a 8)
# arquivo  = nome do arquivo dentro de fontes/  (ver mapa-de-material.md)
# in       = timecode de entrada no arquivo de origem, em segundos
# dur      = duracao do corte no corte final, em segundos
# zoom     = 1 para leve zoom in, 0 para plano estatico
# descricao= o que precisa aparecer nesse corte
#
# ATENCAO: os valores da coluna "in" sao SUGESTOES e precisam ser conferidos
# assistindo o material bruto. Todo o resto (duracoes, ordem, tempos de
# legenda) ja esta fechado conforme o briefing e nao deve mudar.
#
bloco,arquivo,in,dur,zoom,descricao
1,norte.mp4,12.0,1.0,0,Plano geral da pista do NorteShopping
1,barra.mp4,10.0,1.0,0,Plano geral da pista da Barra
1,campo-grande.mp4,8.0,1.0,0,Plano geral da pista de Campo Grande
2,norte.mp4,26.0,2.6,1,Plano aberto mostrando a extensao do circuito
2,norte.mp4,48.0,2.4,0,Kart em alta velocidade cruzando o quadro
3,barra.mp4,34.0,2.5,0,Kart entrando no tunel de LED
3,barra.mp4,41.0,2.5,1,Close no efeito visual das luzes em movimento
4,campo-grande.mp4,22.0,2.4,0,Sequencia de curvas tecnicas
4,campo-grande.mp4,37.0,2.6,0,Kart fazendo ultrapassagem
5,norte.mp4,60.0,1.3,0,Flash da pista do NorteShopping
5,barra.mp4,55.0,1.1,0,Flash da pista da Barra
5,campo-grande.mp4,50.0,0.9,0,Flash da pista de Campo Grande
5,onboard.mp4,90.0,0.7,0,Flash onboard - ponto de vista do piloto
6,festa-01.mp4,5.0,1.8,1,Salao de festas montado, mesas prontas
6,festa-02.mp4,3.0,1.6,0,Convidados confraternizando antes da corrida
6,festa-03.mp4,7.0,1.6,0,Mesa posta / detalhe da estrutura do salao
7,podio-01.mp4,4.0,1.4,0,Comemoracao na linha de chegada
7,podio-02.mp4,2.0,1.3,0,Trofeu erguido
7,podio-03.mp4,6.0,1.3,0,Abracos, clima de vitoria
8,encerramento.mp4,0.0,4.0,1,Logo Meta Kart sobre fundo escuro, karts desfocados ao fundo
